Date,Open,High,Low,Close*,Adj Close**,Volume
8/30/2023,1936.00,1946.40,1934.60,1944.30,1944.30,396.00
8/29/2023,1917.90,1936.50,1916.90,1936.50,1936.50,1674.00
8/28/2023,1915.50,1921.50,1915.50,1917.90,1917.90,99.00
8/25/2023,1919.80,1919.80,1911.10,1911.10,1911.10,195.00
8/24/2023,1920.00,1920.80,1918.20,1918.20,1918.20,337.00
8/23/2023,1909.60,1918.50,1909.60,1918.50,1918.50,547.00
8/22/2023,"1,894.60",1896.80,1892.80,1896.40,1896.40,46.00
8/21/2023,"1,893.60",1893.60,1893.30,1893.30,1893.30,876.00
8/18/2023,"1,891.80",1891.80,1886.10,1886.10,1886.10,19.00
8/17/2023,"1,893.70",1902.40,1884.00,1884.10,1884.10,245.00
8/16/2023,"1,904.50",1904.50,1890.30,1896.10,1896.10,22.00
8/15/2023,"1,906.00",1907.70,1895.00,1902.50,1902.50,73.00
8/14/2023,"1,909.30",1912.60,1903.30,1910.60,1910.60,46.00
8/11/2023,"1,913.00",1916.60,1911.80,1912.90,1912.90,57.00
8/10/2023,"1,921.10",1927.80,1911.40,1914.40,1914.40,178.00
8/9/2023,"1,925.40",1928.80,1913.70,1915.40,1915.40,451.00
8/8/2023,"1,931.70",1933.20,1923.00,1924.10,1924.10,555.00
8/7/2023,"1,941.00",1941.00,1929.80,1933.50,1933.50,376.00
8/4/2023,"1,934.90",1945.00,1920.00,1939.60,1939.60,290.00
8/3/2023,"1,934.20",1936.50,1928.00,1932.00,1932.00,773.00
8/2/2023,"1,948.40",1953.60,1933.20,1937.40,1937.40,652.00
8/1/2023,"1,964.90",1965.40,1940.70,1940.70,1940.70,688.00
7/31/2023,"1,959.20",1971.60,1950.00,1970.50,1970.50,1025.00
7/28/2023,"1,945.50",1962.20,1944.20,1960.40,1960.40,23155.00
7/27/2023,"1,945.40",1945.40,1945.40,1945.40,1945.40,194253.00
7/26/2023,"1,966.20",1972.00,1966.20,1968.90,1968.90,51.00
7/25/2023,"1,953.00",1962.50,1953.00,1962.10,1962.10,19.00
7/24/2023,"1,965.30",1965.50,1960.30,1960.30,1960.30,2.00
7/21/2023,"1,961.80",1964.30,1961.80,1964.30,1964.30,50.00
7/20/2023,"1,973.70",1973.70,1965.60,1968.30,1968.30,638.00
7/19/2023,"1,977.00",1977.50,1973.00,1977.50,1977.50,35.00
7/18/2023,"1,968.80",1978.40,1963.40,1977.20,1977.20,83.00
7/17/2023,"1,954.00",1956.50,1946.60,1952.40,1952.40,29.00
7/14/2023,"1,958.40",1960.60,1952.70,1960.10,1960.10,94.00
7/13/2023,"1,961.10",1961.10,1953.00,1959.20,1959.20,121.00
7/12/2023,"1,932.30",1958.00,1932.20,1956.20,1956.20,132.00
7/11/2023,"1,925.00",1937.00,1924.20,1931.30,1931.30,142.00
7/10/2023,"1,923.60",1926.10,1912.30,1925.00,1925.00,269.00
7/7/2023,"1,913.40",1934.10,1913.40,1926.20,1926.20,61.00
7/6/2023,"1,909.30",1910.20,1903.20,1908.70,1908.70,81.00
7/5/2023,"1,923.50",1933.90,1914.70,1919.60,1919.60,193.00
7/3/2023,"1,917.90",1929.50,1917.90,1921.70,1921.70,41.00
6/30/2023,"1,908.60",1921.10,1900.60,1921.10,1921.10,445.00
6/29/2023,"1,909.90",1909.90,1892.50,1909.20,1909.20,289.00
6/28/2023,"1,912.30",1912.30,1912.30,1912.30,1912.30,628.00
6/27/2023,"1,927.00",1929.40,1914.00,1914.00,1914.00,49.00
6/26/2023,"1,922.90",1928.50,1922.50,1923.70,1923.70,71.00
6/23/2023,"1,918.70",1932.50,1918.70,1919.10,1919.10,105.00
6/22/2023,"1,920.00",1921.00,1912.10,1912.70,1912.70,237.00
6/21/2023,"1,935.60",1936.80,1920.00,1933.30,1933.30,557.00
6/20/2023,"1,958.60",1958.60,1931.30,1935.50,1935.50,193.00
6/16/2023,"1,961.40",1962.90,1953.50,1958.40,1958.40,119.00
6/15/2023,"1,941.70",1958.80,1926.00,1957.80,1957.80,329.00
6/14/2023,"1,946.20",1958.20,1940.30,1955.30,1955.30,202.00
6/13/2023,"1,960.60",1967.50,1940.30,1944.60,1944.60,343.00
6/12/2023,"1,959.70",1963.50,1951.40,1955.30,1955.30,212.00
6/9/2023,"1,965.10",1969.80,1960.30,1962.20,1962.20,49.00
